,conId,symbol,secType,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,comboLegsDescrip,comboLegs,underComp
0,247608417,AAPL,OPT,2019/1/18,100,C,100,SMART,,USD,AAPL  190118C00100000,AAPL,FALSE,,,,,
1,247608432,AAPL,OPT,2019/1/18,120,C,100,SMART,,USD,AAPL  190118C00120000,AAPL,FALSE,,,,,
2,247608442,AAPL,OPT,2019/1/18,130,C,100,SMART,,USD,AAPL  190118C00130000,AAPL,FALSE,,,,,
3,247608448,AAPL,OPT,2019/1/18,140,C,100,SMART,,USD,AAPL  190118C00140000,AAPL,FALSE,,,,,
4,247608458,AAPL,OPT,2019/1/18,150,C,100,SMART,,USD,AAPL  190118C00150000,AAPL,FALSE,,,,,
5,247608463,AAPL,OPT,2019/1/18,80,C,100,SMART,,USD,AAPL  190118C00080000,AAPL,FALSE,,,,,
6,247608465,AAPL,OPT,2019/1/18,85,C,100,SMART,,USD,AAPL  190118C00085000,AAPL,FALSE,,,,,
7,247608468,AAPL,OPT,2019/1/18,90,C,100,SMART,,USD,AAPL  190118C00090000,AAPL,FALSE,,,,,
8,247608475,AAPL,OPT,2019/1/18,95,C,100,SMART,,USD,AAPL  190118C00095000,AAPL,FALSE,,,,,
9,247608478,AAPL,OPT,2019/1/18,97.5,C,100,SMART,,USD,AAPL  190118C00097500,AAPL,FALSE,,,,,
10,247608482,AAPL,OPT,2019/1/18,100,P,100,SMART,,USD,AAPL  190118P00100000,AAPL,FALSE,,,,,
11,247608487,AAPL,OPT,2019/1/18,105,P,100,SMART,,USD,AAPL  190118P00105000,AAPL,FALSE,,,,,
12,247608488,AAPL,OPT,2019/1/18,110,P,100,SMART,,USD,AAPL  190118P00110000,AAPL,FALSE,,,,,
13,247608508,AAPL,OPT,2019/1/18,135,P,100,SMART,,USD,AAPL  190118P00135000,AAPL,FALSE,,,,,
14,247608513,AAPL,OPT,2019/1/18,140,P,100,SMART,,USD,AAPL  190118P00140000,AAPL,FALSE,,,,,
15,247608516,AAPL,OPT,2019/1/18,145,P,100,SMART,,USD,AAPL  190118P00145000,AAPL,FALSE,,,,,
16,247608523,AAPL,OPT,2019/1/18,150,P,100,SMART,,USD,AAPL  190118P00150000,AAPL,FALSE,,,,,
17,247608526,AAPL,OPT,2019/1/18,80,P,100,SMART,,USD,AAPL  190118P00080000,AAPL,FALSE,,,,,
18,247608533,AAPL,OPT,2019/1/18,90,P,100,SMART,,USD,AAPL  190118P00090000,AAPL,FALSE,,,,,
19,247608543,AAPL,OPT,2019/1/18,97.5,P,100,SMART,,USD,AAPL  190118P00097500,AAPL,FALSE,,,,,
20,247746017,AAPL,OPT,2019/1/18,155,C,100,SMART,,USD,AAPL  190118C00155000,AAPL,FALSE,,,,,
21,247746020,AAPL,OPT,2019/1/18,42.5,C,100,SMART,,USD,AAPL  190118C00042500,AAPL,FALSE,,,,,
22,247746030,AAPL,OPT,2019/1/18,55,C,100,SMART,,USD,AAPL  190118C00055000,AAPL,FALSE,,,,,
23,247746032,AAPL,OPT,2019/1/18,60,C,100,SMART,,USD,AAPL  190118C00060000,AAPL,FALSE,,,,,
24,247746042,AAPL,OPT,2019/1/18,70,C,100,SMART,,USD,AAPL  190118C00070000,AAPL,FALSE,,,,,
25,247746047,AAPL,OPT,2019/1/18,75,C,100,SMART,,USD,AAPL  190118C00075000,AAPL,FALSE,,,,,
26,247746051,AAPL,OPT,2019/1/18,155,P,100,SMART,,USD,AAPL  190118P00155000,AAPL,FALSE,,,,,
27,247746054,AAPL,OPT,2019/1/18,42.5,P,100,SMART,,USD,AAPL  190118P00042500,AAPL,FALSE,,,,,
28,247746057,AAPL,OPT,2019/1/18,47.5,P,100,SMART,,USD,AAPL  190118P00047500,AAPL,FALSE,,,,,
29,247746060,AAPL,OPT,2019/1/18,55,P,100,SMART,,USD,AAPL  190118P00055000,AAPL,FALSE,,,,,
30,247746066,AAPL,OPT,2019/1/18,60,P,100,SMART,,USD,AAPL  190118P00060000,AAPL,FALSE,,,,,
31,247746071,AAPL,OPT,2019/1/18,65,P,100,SMART,,USD,AAPL  190118P00065000,AAPL,FALSE,,,,,
32,247746072,AAPL,OPT,2019/1/18,70,P,100,SMART,,USD,AAPL  190118P00070000,AAPL,FALSE,,,,,
33,247810998,AAPL,OPT,2019/1/18,160,C,100,SMART,,USD,AAPL  190118C00160000,AAPL,FALSE,,,,,
34,247811001,AAPL,OPT,2019/1/18,160,P,100,SMART,,USD,AAPL  190118P00160000,AAPL,FALSE,,,,,
35,249217494,AAPL,OPT,2019/1/18,165,C,100,SMART,,USD,AAPL  190118C00165000,AAPL,FALSE,,,,,
