,headTimestamp,stock_code
0,20171122  14:31:03,AAPL  180420C00165000
1,20171122  14:30:55,AAPL  180420C00180000
2,20171122  14:30:57,AAPL  180420C00185000
3,20180122  14:36:07,AAPL  180316C00175000
4,20171122  16:02:26,AAPL  190118C00100000
5,20171128  16:38:58,AAPL  190118C00105000
6,20171122  17:39:25,AAPL  190118C00110000
7,20171127  17:03:24,AAPL  190118C00115000
8,20171122  14:30:01,AAPL  190118C00120000
9,20171122  14:46:11,AAPL  190118C00125000
10,20171122  15:31:30,AAPL  190118C00130000
11,20171122  20:41:17,AAPL  190118C00135000
12,20171122  14:30:52,AAPL  190118C00140000
13,20171122  14:33:40,AAPL  190118C00145000
14,20171122  14:36:35,AAPL  190118C00150000
15,20171127  14:35:32,AAPL  190118C00080000
16,20171128  15:14:23,AAPL  190118C00085000
17,20171128  15:47:42,AAPL  190118C00090000
18,20171124  17:35:04,AAPL  190118C00095000
19,20171204  15:49:39,AAPL  190118C00097500
20,20171122  14:51:15,AAPL  190118P00100000
21,20171127  16:28:01,AAPL  190118P00105000
22,20171122  20:46:44,AAPL  190118P00110000
23,20171122  16:01:28,AAPL  190118P00115000
24,20171122  14:48:10,AAPL  190118P00120000
25,20171122  14:51:15,AAPL  190118P00125000
26,20171122  15:39:22,AAPL  190118P00130000
27,20171122  15:09:08,AAPL  190118P00135000
28,20171122  15:03:17,AAPL  190118P00140000
29,20171122  14:59:07,AAPL  190118P00145000
30,20171122  15:09:20,AAPL  190118P00150000
31,20171124  16:35:15,AAPL  190118P00080000
32,20171124  14:30:03,AAPL  190118P00085000
33,20171122  17:44:16,AAPL  190118P00090000
34,20171122  20:39:42,AAPL  190118P00095000
35,20171128  20:37:03,AAPL  190118P00097500
36,20171122  14:30:00,AAPL  190118C00155000
37,20171122  17:04:30,AAPL  190118C00042500
38,20171124  17:46:40,AAPL  190118C00047500
39,20171122  16:45:21,AAPL  190118C00055000
40,20171122  16:46:44,AAPL  190118C00060000
41,20180131  15:20:30,AAPL  190118C00065000
42,20171127  14:30:09,AAPL  190118C00070000
43,20171128  15:58:08,AAPL  190118C00075000
44,20171122  19:59:36,AAPL  190118P00155000
45,20171122  18:40:51,AAPL  190118P00042500
46,20171122  18:41:16,AAPL  190118P00047500
47,20171127  15:46:31,AAPL  190118P00055000
48,20171127  19:27:32,AAPL  190118P00060000
49,20171122  14:36:10,AAPL  190118P00065000
50,20171127  14:33:53,AAPL  190118P00070000
51,20171122  20:45:41,AAPL  190118P00075000
52,20171122  15:14:15,AAPL  190118C00160000
53,20171122  14:30:00,AAPL  190118P00160000
54,20171122  14:33:50,AAPL  190118C00165000
55,20171122  15:48:17,AAPL  190118P00165000
56,20171122  14:42:08,AAPL  190118C00170000
57,20171122  14:42:16,AAPL  190118P00170000
58,20171122  14:30:13,AAPL  190118C00175000
59,20171122  14:34:26,AAPL  190118P00175000
60,20171122  14:33:55,AAPL  190118C00180000
61,20171122  14:30:27,AAPL  190118P00180000
62,20171122  14:43:59,AAPL  190118C00185000
63,20171122  14:30:02,AAPL  190118C00190000
64,20171122  15:39:56,AAPL  190118P00185000
65,20171122  20:39:11,AAPL  190118P00190000
66,20171122  14:30:03,AAPL  190118C00195000
67,20171129  16:59:51,AAPL  190118P00195000
68,20171124  14:59:45,AAPL  180615C00100000
69,20171130  20:15:13,AAPL  180615C00105000
70,20171130  20:15:13,AAPL  180615C00110000
71,20171206  15:02:07,AAPL  180615C00115000
72,20171122  15:08:25,AAPL  180615C00120000
73,20171122  15:48:52,AAPL  180615C00125000
74,20171122  14:36:10,AAPL  180615C00130000
75,20171122  14:38:54,AAPL  180615C00135000
76,20171122  14:44:36,AAPL  180615C00140000
77,20171122  17:08:47,AAPL  180615C00145000
78,20171122  14:30:38,AAPL  180615C00150000
79,20171122  15:48:00,AAPL  180615C00155000
80,20171122  14:30:03,AAPL  180615C00160000
81,20171122  14:33:23,AAPL  180615C00165000
82,20171122  14:36:01,AAPL  180615C00170000
83,20171122  14:30:02,AAPL  180615C00175000
84,20171122  14:30:57,AAPL  180615C00180000
85,20171122  14:43:16,AAPL  180615C00185000
86,20171122  14:30:38,AAPL  180615C00190000
87,20171122  14:34:28,AAPL  180615C00195000
88,20180126  14:30:00,AAPL  180615C00070000
89,20180208  19:45:18,AAPL  180615C00075000
90,20171129  15:56:54,AAPL  180615C00080000
91,20180124  15:08:12,AAPL  180615C00085000
92,20171127  14:48:08,AAPL  180615C00090000
93,20180208  20:53:42,AAPL  180615C00095000
94,20171127  16:23:20,AAPL  180615P00100000
95,20171124  14:32:17,AAPL  180615P00105000
96,20171124  16:45:57,AAPL  180615P00110000
97,20171122  20:48:22,AAPL  180615P00115000
98,20171122  15:55:59,AAPL  180615P00120000
99,20171122  18:51:35,AAPL  180615P00125000
100,20171122  15:55:59,AAPL  180615P00130000
101,20171122  15:03:22,AAPL  180615P00135000
102,20171122  15:41:09,AAPL  180615P00140000
103,20171122  15:10:20,AAPL  180615P00145000
104,20171122  14:33:17,AAPL  180615P00150000
105,20171122  14:30:09,AAPL  180615P00155000
106,20171122  14:34:40,AAPL  180615P00160000
107,20171122  14:33:17,AAPL  180615P00165000
108,20171122  15:18:02,AAPL  180615P00170000
109,20171122  15:03:22,AAPL  180615P00175000
110,20171122  14:49:55,AAPL  180615P00180000
111,20171122  16:08:58,AAPL  180615P00185000
112,20171124  14:30:00,AAPL  180615P00190000
113,20171205  16:37:00,AAPL  180615P00195000
114,20171228  17:42:44,AAPL  180615P00070000
115,20171208  20:09:42,AAPL  180615P00075000
116,20171207  15:19:36,AAPL  180615P00080000
117,20180104  16:59:46,AAPL  180615P00085000
118,20171129  17:46:59,AAPL  180615P00090000
119,20171128  20:27:57,AAPL  180615P00095000
120,20171122  14:34:40,AAPL  180615C00200000
121,20171205  14:30:01,AAPL  180615P00200000
122,20171122  15:01:48,AAPL  190118C00200000
123,20171122  16:09:19,AAPL  190118P00200000
124,20171122  14:38:04,AAPL  180615C00210000
125,20171128  18:20:01,AAPL  180615P00210000
126,20171122  17:35:32,AAPL  190118C00210000
127,20171218  18:16:30,AAPL  190118P00210000
128,20171122  16:09:21,AAPL  180615C00205000
129,20171122  19:25:24,AAPL  180615C00215000
130,20171122  15:18:19,AAPL  180615C00220000
131,20171122  17:44:22,AAPL  180615C00225000
132,20171122  17:43:07,AAPL  180615C00230000
133,20171124  16:52:00,AAPL  180615C00235000
134,20171127  14:30:18,AAPL  180615C00240000
135,20171130  15:38:25,AAPL  180615C00245000
136,20171124  17:52:06,AAPL  180615C00250000
137,20171213  16:31:43,AAPL  180615P00205000
138,20171127  15:54:51,AAPL  180615P00215000
139,20171211  20:51:49,AAPL  180615P00220000
140,20171201  17:45:32,AAPL  180615P00225000
141,20171127  16:14:47,AAPL  180615P00230000
142,20171122  16:00:00,AAPL  180615P00235000
143,20180216  15:37:56,AAPL  180615P00240000
144,20171122  16:00:00,AAPL  180615P00245000
145,20180130  14:30:20,AAPL  180615P00250000
146,20171122  17:46:57,AAPL  190118C00205000
147,20171122  15:52:51,AAPL  190118C00215000
148,20171122  16:05:34,AAPL  190118C00220000
149,20171122  15:03:18,AAPL  190118C00225000
150,20171122  15:27:40,AAPL  190118C00230000
151,20171122  20:47:18,AAPL  190118C00235000
152,20171122  14:30:53,AAPL  190118C00240000
153,20171122  15:04:07,AAPL  190118C00245000
154,20171122  14:30:35,AAPL  190118C00250000
155,20171127  14:59:06,AAPL  190118P00205000
156,20180118  17:57:27,AAPL  190118P00215000
157,20171221  16:46:11,AAPL  190118P00220000
158,20171122  16:11:42,AAPL  190118P00225000
159,20171127  17:31:55,AAPL  190118P00230000
160,20180313  13:39:17,AAPL  190118P00235000
161,20171128  16:12:46,AAPL  190118P00240000
162,20171122  16:00:00,AAPL  190118P00245000
163,20171204  14:42:56,AAPL  190118P00250000
164,20171129  15:25:14,AAPL  180921C00100000
165,20180109  14:42:24,AAPL  180921C00105000
166,20171206  16:10:10,AAPL  180921C00110000
167,20171201  16:07:52,AAPL  180921C00115000
168,20171129  15:20:02,AAPL  180921C00120000
169,20171129  16:12:52,AAPL  180921C00125000
170,20171122  15:31:30,AAPL  180921C00130000
171,20171128  14:35:53,AAPL  180921C00135000
172,20171122  16:22:41,AAPL  180921C00140000
173,20171122  14:45:20,AAPL  180921C00145000
174,20171122  15:45:37,AAPL  180921C00150000
175,20171122  15:06:58,AAPL  180921C00155000
176,20171122  15:28:43,AAPL  180921C00160000
177,20171122  15:28:43,AAPL  180921C00165000
178,20171122  14:49:42,AAPL  180921C00170000
179,20171122  15:31:40,AAPL  180921C00175000
180,20171122  14:45:03,AAPL  180921C00180000
181,20171122  14:46:10,AAPL  180921C00185000
182,20171122  16:00:40,AAPL  180921C00190000
183,20171122  14:30:57,AAPL  180921C00195000
184,20171122  15:29:13,AAPL  180921C00200000
185,20171122  18:51:25,AAPL  180921C00205000
186,20171122  15:04:32,AAPL  180921C00210000
187,20171124  16:30:35,AAPL  180921C00215000
188,20171124  14:59:39,AAPL  180921C00220000
189,20171127  20:15:54,AAPL  180921C00225000
190,20171127  19:48:50,AAPL  180921C00230000
191,20171124  17:27:08,AAPL  180921C00235000
192,20171221  16:31:17,AAPL  180921C00240000
193,20171218  19:31:33,AAPL  180921C00245000
194,20171122  17:03:30,AAPL  180921C00250000
195,20180118  20:46:03,AAPL  180921C00075000
196,20171204  19:30:30,AAPL  180921C00080000
197,20171122  16:00:00,AAPL  180921C00085000
198,20180208  20:43:52,AAPL  180921C00090000
199,20171205  15:04:25,AAPL  180921C00095000
200,20171124  14:52:14,AAPL  180921P00100000
201,20171124  16:25:22,AAPL  180921P00105000
202,20171128  19:28:58,AAPL  180921P00110000
203,20171127  16:04:12,AAPL  180921P00115000
204,20171128  19:29:02,AAPL  180921P00120000
205,20171124  17:42:27,AAPL  180921P00125000
206,20171122  20:13:27,AAPL  180921P00130000
207,20171124  14:59:45,AAPL  180921P00135000
208,20171122  14:43:45,AAPL  180921P00140000
209,20171122  16:34:05,AAPL  180921P00145000
210,20171122  14:34:40,AAPL  180921P00150000
211,20171122  17:51:18,AAPL  180921P00155000
212,20171122  14:40:07,AAPL  180921P00160000
213,20171122  18:09:34,AAPL  180921P00165000
214,20171122  14:39:08,AAPL  180921P00170000
215,20171122  14:35:10,AAPL  180921P00175000
216,20171122  14:45:37,AAPL  180921P00180000
217,20171122  18:11:39,AAPL  180921P00185000
218,20171127  20:39:24,AAPL  180921P00190000
219,20171206  18:33:08,AAPL  180921P00195000
220,20171128  14:47:26,AAPL  180921P00200000
221,20171201  14:30:04,AAPL  180921P00205000
222,20171201  14:30:04,AAPL  180921P00210000
223,20171207  18:47:17,AAPL  180921P00215000
224,20171213  17:09:49,AAPL  180921P00220000
225,20180201  15:04:11,AAPL  180921P00225000
226,20180207  15:56:13,AAPL  180921P00230000
227,20171127  14:45:29,AAPL  180921P00235000
228,20180205  20:20:09,AAPL  180921P00240000
229,20180201  18:40:42,AAPL  180921P00245000
230,20180119  18:20:59,AAPL  180921P00250000
231,20171128  16:35:10,AAPL  180921P00075000
232,20180208  20:45:43,AAPL  180921P00080000
233,20171215  20:07:06,AAPL  180921P00085000
234,20171201  16:30:17,AAPL  180921P00090000
235,20171218  18:47:08,AAPL  180921P00095000
236,20171122  19:57:00,AAPL  180420C00120000
237,20171128  15:59:37,AAPL  180420C00125000
238,20171127  14:37:31,AAPL  180420C00130000
239,20171122  19:32:39,AAPL  180420C00135000
240,20171122  16:19:35,AAPL  180420C00140000
241,20171122  14:31:01,AAPL  180420C00145000
242,20171122  14:32:37,AAPL  180420C00150000
243,20171122  14:44:56,AAPL  180420C00155000
244,20171122  14:43:31,AAPL  180420C00160000
245,20171122  14:38:47,AAPL  180420C00170000
246,20171122  14:30:56,AAPL  180420C00175000
247,20171122  14:36:51,AAPL  180420C00190000
248,20171122  14:42:36,AAPL  180420C00195000
249,20171122  14:35:24,AAPL  180420C00200000
250,20171122  15:00:18,AAPL  180420C00205000
251,20171122  14:34:18,AAPL  180420C00210000
252,20171122  18:39:57,AAPL  180420P00120000
253,20171122  15:06:03,AAPL  180420P00125000
254,20171122  14:30:03,AAPL  180420P00130000
255,20171122  14:37:52,AAPL  180420P00135000
256,20171122  14:43:45,AAPL  180420P00140000
257,20171122  15:10:01,AAPL  180420P00145000
258,20171122  14:30:02,AAPL  180420P00150000
259,20171122  15:17:47,AAPL  180420P00155000
260,20171122  14:45:22,AAPL  180420P00160000
261,20171122  14:39:29,AAPL  180420P00165000
262,20171122  14:35:27,AAPL  180420P00170000
263,20171122  14:39:41,AAPL  180420P00175000
264,20171122  14:45:02,AAPL  180420P00180000
265,20171122  16:20:42,AAPL  180420P00185000
266,20171122  20:52:39,AAPL  180420P00190000
267,20171127  16:23:59,AAPL  180420P00195000
268,20171122  16:00:07,AAPL  180420P00200000
269,20171205  19:11:59,AAPL  180420P00205000
270,20171122  16:00:07,AAPL  180420P00210000
271,20171122  14:47:11,AAPL  180420C00100000
272,20171220  19:42:24,AAPL  180420C00105000
273,20171129  15:27:48,AAPL  180420C00110000
274,20171218  14:52:54,AAPL  180420C00115000
275,20180202  17:12:13,AAPL  180420C00085000
276,20180111  18:57:06,AAPL  180420C00090000
277,20180102  16:36:26,AAPL  180420C00095000
278,20171127  18:05:56,AAPL  180420P00100000
279,20171213  19:00:53,AAPL  180420P00105000
280,20171122  15:20:06,AAPL  180420P00110000
281,20171127  16:05:23,AAPL  180420P00115000
282,20171128  20:21:54,AAPL  180420P00085000
283,20171206  17:03:13,AAPL  180420P00090000
284,20171130  20:43:09,AAPL  180420P00095000
285,20171122  15:41:16,AAPL  180420C00220000
286,20180111  17:18:18,AAPL  180420P00220000
287,20171127  16:37:12,AAPL  180420C00230000
288,20180116  20:02:21,AAPL  180420P00230000
289,20180201  20:17:22,AAPL  180420C00010000
290,20180226  16:38:32,AAPL  180420C00012500
291,20171122  16:00:00,AAPL  180420C00015000
292,20180301  18:51:47,AAPL  180420C00017500
293,20171127  18:40:11,AAPL  180420C00002500
